question,worker,answer
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,1
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,1,0
17,1,0
18,1,0
19,1,0
20,1,1
21,1,1
22,1,0
23,1,0
24,1,0
25,1,0
26,1,0
27,1,0
28,1,0
29,1,1
30,1,0
31,1,1
32,1,1
33,2,1
34,2,1
35,2,1
36,2,1
37,2,1
38,2,1
39,2,0
40,2,1
41,2,1
42,2,1
43,2,1
44,2,1
45,2,1
46,2,1
47,2,1
48,2,1
49,2,0
50,3,0
51,3,1
52,3,0
53,3,1
54,3,1
55,3,0
56,3,0
57,3,1
58,3,1
59,3,0
60,3,1
61,3,1
62,3,1
63,3,0
64,3,1
65,3,0
66,4,0
67,4,0
68,4,0
69,4,0
70,4,0
71,4,0
72,4,0
73,4,1
74,4,0
75,4,1
76,4,1
77,4,0
78,4,0
79,4,0
80,4,0
81,4,0
82,4,1
83,5,0
84,5,0
85,5,0
86,5,0
87,5,0
88,5,0
89,5,1
90,5,0
91,5,0
92,5,0
93,5,0
94,5,0
95,5,1
96,5,0
97,5,0
98,5,1
99,6,0
100,6,0
101,6,0
102,6,0
103,6,0
104,6,0
105,6,0
106,6,0
107,6,0
108,6,0
109,6,0
110,6,0
111,6,0
112,6,0
113,6,0
114,6,0
115,3,1
116,3,1
117,3,1
118,3,0
119,3,1
120,3,0
121,3,1
122,3,1
123,3,0
124,3,1
125,3,1
126,3,0
127,3,1
128,3,1
129,3,0
130,3,0
131,3,1
132,5,0
133,5,0
134,5,0
135,5,0
136,5,0
137,5,0
138,5,0
139,5,0
140,5,0
141,5,0
142,5,0
143,5,0
144,5,0
145,5,0
146,5,0
147,5,0
148,3,1
149,3,0
150,3,1
151,3,0
152,3,0
153,3,0
154,3,1
155,3,1
156,3,1
157,3,1
158,3,1
159,3,0
160,3,0
161,3,1
162,3,1
163,3,0
164,7,0
165,7,0
166,7,0
167,7,0
168,7,0
169,7,0
170,7,0
171,7,0
172,7,0
173,7,0
174,7,0
175,7,0
176,7,0
177,7,0
178,7,0
179,7,0
180,8,0
181,8,0
182,8,0
183,8,0
184,8,0
185,8,0
186,8,0
187,8,0
188,8,0
189,8,0
190,8,0
191,8,0
192,8,0
193,8,0
194,8,0
195,8,0
196,8,0
197,3,1
198,3,0
199,3,0
200,3,1
201,3,1
202,3,1
203,3,1
204,3,0
205,3,1
206,3,1
207,3,0
208,3,1
209,3,1
210,3,0
211,3,0
212,3,1
213,9,0
214,9,0
215,9,0
216,9,0
217,9,0
218,9,0
219,9,0
220,9,0
221,9,0
222,9,0
223,9,0
224,9,0
225,9,0
226,9,0
227,9,0
228,9,0
229,5,0
230,5,0
231,5,1
232,5,0
233,5,0
234,5,1
235,5,0
236,5,0
237,5,0
238,5,0
239,5,0
240,5,0
241,5,0
242,5,0
243,5,0
244,5,0
245,10,0
246,10,0
247,10,0
248,10,1
249,10,1
250,10,0
251,10,0
252,10,0
253,10,0
254,10,0
255,10,1
256,10,0
257,10,1
258,10,0
259,10,0
260,10,0
261,10,1
262,3,1
263,3,0
264,3,0
265,3,1
266,3,1
267,3,1
268,3,1
269,3,1
270,3,0
271,3,1
272,3,0
273,3,1
274,3,0
275,3,1
276,3,1
277,3,1
278,11,0
279,11,0
280,11,0
281,11,0
282,11,0
283,11,0
284,11,0
285,11,1
286,11,0
287,11,0
288,11,0
289,11,0
290,11,0
291,11,0
292,11,0
293,11,0
294,3,1
295,3,1
296,3,0
297,3,1
298,3,1
299,3,1
300,3,0
301,3,1
302,3,0
303,3,1
304,3,0
305,3,1
306,3,0
307,3,0
308,3,0
309,3,1
310,12,0
311,12,0
312,12,1
313,12,0
314,12,0
315,12,0
316,12,0
317,12,0
318,12,0
319,12,0
320,12,0
321,12,0
322,12,0
323,12,0
324,12,0
325,12,0
326,3,1
327,3,0
328,3,1
329,3,0
330,3,1
331,3,0
332,3,1
333,3,0
334,3,0
335,3,1
336,3,1
337,3,1
338,3,0
339,3,1
340,3,1
341,3,1
342,3,1
343,3,1
344,3,0
345,3,1
346,3,1
347,3,1
348,3,0
349,3,1
350,3,0
351,3,1
352,3,0
353,3,1
354,3,1
355,3,0
356,3,0
357,3,1
358,8,0
359,8,0
360,8,0
361,8,0
362,8,0
363,8,0
364,8,0
365,8,0
366,8,0
367,8,0
368,8,0
369,8,0
370,8,0
371,8,0
372,8,0
373,8,0
374,13,1
375,13,1
376,13,1
377,13,1
378,13,1
379,13,1
380,13,0
381,13,1
382,13,1
383,13,0
384,13,1
385,13,1
386,13,0
387,13,1
388,13,1
389,13,1
390,3,1
391,3,1
392,3,0
393,3,1
394,3,1
395,3,0
396,3,1
397,3,1
398,3,1
399,3,0
400,3,1
401,3,0
402,3,0
403,3,1
404,3,1
405,3,0
406,5,0
407,5,0
408,5,0
409,5,0
410,5,0
411,5,0
412,5,0
413,5,0
414,5,0
415,5,0
416,5,0
417,5,0
418,5,0
419,5,0
420,5,0
421,5,0
422,5,0
423,12,0
424,12,0
425,12,1
426,12,0
427,12,0
428,12,1
429,12,0
430,12,0
431,12,0
432,12,1
433,12,0
434,12,0
435,12,0
436,12,1
437,12,0
438,12,0
439,3,0
440,3,1
441,3,1
442,3,1
443,3,1
444,3,1
445,3,0
446,3,1
447,3,1
448,3,1
449,3,1
450,3,1
451,3,0
452,3,1
453,3,0
454,3,0
455,3,1
456,14,0
457,14,0
458,14,0
459,14,0
460,14,0
461,14,0
462,14,0
463,14,0
464,14,0
465,14,0
466,14,0
467,14,0
468,14,0
469,14,0
470,14,0
471,14,0
472,14,1
473,11,0
474,11,0
475,11,0
476,11,0
477,11,0
478,11,0
479,11,0
480,11,0
481,11,0
482,11,0
483,11,0
484,11,0
485,11,0
486,11,0
487,11,0
488,11,0
489,8,0
490,8,0
491,8,0
492,8,0
493,8,0
494,8,0
495,8,0
496,8,0
497,8,0
498,8,0
499,8,0
500,8,0
501,8,0
502,8,0
503,8,0
504,8,0
505,15,0
506,15,1
507,15,0
508,15,0
509,15,1
510,15,0
511,15,0
512,15,0
513,15,0
514,15,0
515,15,0
516,15,0
517,15,0
518,15,0
519,15,0
520,15,0
521,15,0
522,3,1
523,3,0
524,3,1
525,3,0
526,3,1
527,3,1
528,3,1
529,3,0
530,3,1
531,3,0
532,3,1
533,3,0
534,3,1
535,3,1
536,3,0
537,3,1
538,3,0
539,16,0
540,16,0
541,16,0
542,16,0
543,16,0
544,16,0
545,16,0
546,16,0
547,16,0
548,16,0
549,16,0
550,16,0
551,16,0
552,16,0
553,16,1
554,16,0
555,5,0
556,5,0
557,5,0
558,5,0
559,5,0
560,5,1
561,5,0
562,5,1
563,5,0
564,5,0
565,5,0
566,5,1
567,5,1
568,5,0
569,5,0
570,5,0
571,5,0
