question,truth
0,0
1,0
2,0
3,0
4,0
5,1
6,1
7,1
8,1
9,0
10,0
11,0
12,0
13,1
14,0
15,1
16,0
17,0
18,1
19,1
20,0
21,0
22,0
23,0
24,1
25,0
26,0
27,0
28,1
29,1
30,1
31,0
32,1
33,0
34,1
35,1
36,0
37,0
38,0
39,1
40,1
41,0
42,1
43,0
44,1
45,0
46,0
47,1
48,0
49,1
50,1
51,0
52,0
53,0
54,0
55,1
56,1
57,1
58,0
59,0
60,1
61,1
62,1
63,0
64,0
65,1
66,0
67,0
68,1
69,0
70,1
71,0
72,1
73,0
74,1
75,1
76,1
77,0
78,0
79,1
80,1
81,0
82,0
83,0
84,1
85,0
86,1
87,0
88,0
89,1
90,1
91,1
92,1
93,0
94,0
95,0
96,0
97,0
98,1
99,1
100,0
101,0
102,1
103,1
104,1
105,0
106,0
107,1
108,1
109,1
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,1
124,1
125,0
126,0
127,0
128,1
129,1
130,0
131,1
132,0
133,0
134,0
135,0
136,0
137,1
138,0
139,0
140,1
141,1
142,1
143,1
144,1
145,0
146,0
147,0
148,1
149,0
150,0
151,1
152,0
153,0
154,1
155,0
156,1
157,0
158,0
159,0
160,1
161,0
162,0
163,1
164,1
165,0
166,1
167,0
168,1
169,0
170,0
171,1
172,1
173,0
174,0
175,0
176,1
177,0
178,1
179,1
180,0
181,0
182,0
183,0
184,1
185,0
186,1
187,1
188,0
189,0
190,1
191,0
192,0
193,1
194,0
195,0
196,1
197,0
198,0
199,1
200,1
201,1
202,1
203,0
204,0
205,0
206,1
207,1
208,0
209,1
210,1
211,0
212,0
213,0
214,0
215,0
216,0
217,1
218,1
219,1
220,1
221,1
222,0
223,1
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,1
236,0
237,0
238,0
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,0
247,0
248,0
249,0
250,0
251,0
252,1
253,1
254,0
255,0
256,0
257,1
258,1
259,0
260,0
261,0
262,0
263,1
264,1
265,1
266,0
267,1
268,1
269,1
270,0
271,1
272,1
273,0
274,1
275,1
276,0
277,0
278,1
279,1
280,1
281,1
282,0
283,0
284,0
285,1
286,0
287,1
288,1
289,1
290,0
291,0
292,1
293,1
294,0
295,0
296,0
297,0
298,0
299,1
300,1
301,1
302,1
303,0
304,0
305,1
306,0
307,0
308,0
309,1
310,1
311,0
312,0
313,0
314,1
315,0
316,1
317,0
318,1
319,0
320,1
321,0
322,0
323,0
324,0
325,1
326,0
327,1
328,1
329,0
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,0
338,1
339,1
340,0
341,0
342,0
343,0
344,0
345,1
346,0
347,0
348,0
349,0
350,0
351,0
352,1
353,0
354,1
355,0
356,0
357,1
358,1
359,1
360,0
361,1
362,0
363,0
364,0
365,1
366,0
367,0
368,0
369,1
370,0
371,1
372,0
373,0
374,0
375,1
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,1
385,1
386,0
387,0
388,0
389,0
390,0
391,1
392,1
393,1
394,1
395,0
396,0
397,1
398,1
399,1
400,1
401,0
402,1
403,1
404,0
405,1
406,1
407,1
408,0
409,0
410,0
411,1
412,0
413,1
414,0
415,0
416,1
417,0
418,0
419,1
420,1
421,1
422,0
423,0
424,0
425,1
426,0
427,0
428,1
429,1
430,0
431,0
432,0
433,1
434,1
435,0
436,0
437,0
438,0
439,1
440,1
441,1
442,0
443,0
444,0
445,0
446,1
447,1
448,1
449,1
450,1
451,0
452,1
453,1
454,1
455,1
456,1
457,0
458,0
459,1
460,1
461,0
