question,worker,answer
0,0,1
0,1,1
0,2,1
0,3,0
0,4,1
0,5,1
0,6,1
0,7,0
0,8,1
0,9,1
0,164,1
0,165,1
0,166,1
0,167,1
0,168,1
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,1
1,6,0
1,7,0
1,8,1
1,9,1
2,0,1
2,1,0
2,2,1
2,3,0
2,4,0
2,5,0
2,6,1
2,7,1
2,8,1
2,9,1
2,164,1
2,165,1
2,166,1
2,167,1
2,168,1
3,0,1
3,1,1
3,2,1
3,3,1
3,4,1
3,5,0
3,6,1
3,7,1
3,8,1
3,9,1
4,0,1
4,1,0
4,2,0
4,3,0
4,4,1
4,5,0
4,6,0
4,7,1
4,8,1
4,9,0
5,0,1
5,1,1
5,2,1
5,3,1
5,4,1
5,5,1
5,6,1
5,7,1
5,8,1
5,9,1
6,0,0
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
6,6,0
6,7,1
6,8,1
6,9,1
7,0,1
7,1,0
7,2,1
7,3,1
7,4,1
7,5,1
7,6,1
7,7,1
7,8,1
7,9,0
7,164,1
7,165,1
7,166,1
7,167,1
7,168,1
8,0,1
8,1,0
8,2,0
8,3,0
8,4,0
8,5,1
8,6,1
8,7,1
8,8,1
8,9,1
9,0,1
9,1,1
9,2,1
9,3,1
9,4,1
9,5,1
9,6,1
9,7,0
9,8,1
9,9,1
10,0,0
10,1,0
10,2,1
10,3,0
10,4,0
10,5,1
10,6,0
10,7,1
10,8,0
10,9,0
11,0,0
11,1,0
11,2,0
11,3,0
11,4,0
11,5,0
11,6,0
11,7,1
11,8,1
11,9,0
12,0,1
12,1,1
12,2,1
12,3,1
12,4,1
12,5,0
12,6,1
12,7,1
12,8,1
12,9,1
13,0,0
13,1,0
13,2,0
13,3,0
13,4,0
13,5,0
13,6,0
13,7,1
13,8,1
13,9,0
14,0,0
14,1,0
14,2,0
14,3,0
14,4,0
14,5,0
14,6,0
14,7,1
14,8,0
14,9,1
15,0,1
15,1,1
15,2,1
15,3,1
