question,worker,answer
0,1,1
0,5,1
0,34,0
0,41,0
0,43,0
0,54,0
0,56,1
0,66,0
0,69,0
0,71,0
0,78,1
1,1,1
1,5,1
1,32,0
1,35,0
1,48,0
1,49,0
1,54,0
1,56,1
1,69,0
1,73,0
1,76,1
1,77,1
1,78,1
2,1,0
2,5,1
2,32,0
2,35,0
2,48,0
2,49,0
2,54,0
2,56,1
2,69,0
2,73,0
2,76,1
2,77,1
2,79,1
3,1,1
3,5,1
3,6,0
3,24,0
3,43,0
3,48,0
3,56,1
3,69,0
3,72,0
3,73,0
3,76,1
4,1,1
4,5,1
4,6,0
4,24,1
4,43,0
4,48,0
4,56,1
4,69,0
4,72,0
4,73,0
5,1,1
5,5,1
5,6,1
5,24,0
5,43,1
5,48,0
5,56,1
5,69,1
5,72,1
5,73,1
5,76,0
6,1,1
6,5,1
6,6,1
6,24,1
6,43,1
6,48,0
6,56,1
6,69,1
6,72,1
6,73,1
7,1,1
7,5,1
7,6,0
7,24,1
7,43,1
7,48,0
7,56,1
7,69,0
7,72,1
7,73,1
7,76,0
7,77,0
8,1,1
8,5,1
8,6,1
8,24,1
8,43,0
8,48,0
8,56,1
8,69,1
8,72,0
8,73,0
9,1,1
9,5,0
9,11,0
9,22,0
9,45,0
9,54,0
9,56,1
9,63,0
9,69,0
9,73,0
10,1,1
10,5,1
10,11,0
10,22,0
10,45,0
10,54,0
10,56,1
10,63,0
10,69,0
10,73,0
10,77,1
10,78,1
11,1,1
11,5,1
11,11,0
11,22,0
11,45,0
11,54,0
11,56,1
11,63,0
11,69,0
11,73,0
11,76,1
11,78,1
11,79,1
12,1,1
12,5,1
12,11,0
12,22,0
12,45,0
12,54,0
12,56,1
12,63,0
12,69,0
12,73,0
12,79,1
13,1,1
13,5,1
13,6,0
13,24,1
13,32,1
13,34,0
13,48,0
13,56,1
13,69,1
13,73,1
13,76,0
13,80,0
14,1,1
14,5,1
14,6,0
14,24,0
14,32,0
14,34,0
14,48,0
14,56,1
14,69,0
14,73,0
14,77,1
14,80,1
15,1,1
15,5,1
15,6,1
15,24,1
15,32,1
15,34,0
15,48,0
15,56,1
15,69,1
15,73,1
16,1,1
16,5,1
16,11,0
16,22,0
16,45,0
16,54,0
16,56,1
16,63,0
16,69,0
16,73,0
16,77,1
17,1,1
17,5,1
17,6,0
17,24,0
17,32,0
17,34,0
17,48,0
17,56,1
17,69,0
17,73,0
17,77,1
18,1,1
18,5,1
18,6,0
18,24,1
18,32,1
18,34,0
18,48,0
18,56,0
18,69,1
18,73,0
18,76,0
19,1,0
19,5,1
19,6,0
19,24,1
19,32,1
19,34,0
19,48,0
19,56,1
19,69,1
19,73,0
20,1,1
20,5,0
20,6,0
20,24,0
20,32,0
20,34,0
20,48,0
20,56,1
20,69,0
20,73,0
21,1,1
21,5,0
21,6,0
21,24,0
21,32,0
21,34,0
21,48,0
21,56,1
21,69,0
21,73,0
21,76,1
21,79,1
22,1,1
22,5,1
22,6,0
22,24,0
22,32,0
22,34,0
22,48,0
22,56,1
22,69,0
22,73,0
22,79,1
22,80,1
23,1,1
23,5,1
23,6,0
23,24,0
23,32,0
23,34,0
23,48,0
23,56,1
23,69,0
23,73,0
24,1,1
24,5,1
24,32,1
24,35,1
24,48,0
24,49,1
24,54,1
24,56,1
24,69,1
24,73,1
24,79,0
24,80,0
25,1,1
25,5,1
25,20,0
25,29,0
25,36,0
25,46,0
25,54,0
25,56,1
25,69,0
25,70,0
25,76,1
25,78,1
25,80,1
26,1,1
26,5,1
26,20,0
26,29,1
26,36,0
26,46,0
26,54,0
26,56,1
26,69,0
26,70,0
26,76,1
26,78,1
27,1,1
27,5,1
27,20,0
27,29,1
27,36,0
27,46,0
27,54,1
27,56,1
27,69,0
27,70,0
27,77,1
27,79,1
28,1,1
28,5,1
28,20,1
28,29,1
28,36,1
28,46,1
28,54,1
28,56,1
28,69,1
28,70,1
29,1,1
29,5,1
29,20,1
29,29,1
29,36,1
29,46,0
29,54,1
29,56,1
29,69,1
29,70,1
29,80,0
30,1,1
30,5,1
30,20,0
30,29,0
30,36,0
30,46,0
30,54,1
30,56,1
30,69,1
30,70,1
30,76,0
30,80,0
31,1,1
31,5,1
31,20,0
31,29,1
31,36,0
31,46,0
31,54,0
31,56,1
31,69,0
31,70,0
31,76,1
32,1,1
32,5,1
32,20,1
32,29,0
32,36,1
32,46,1
32,54,1
32,56,1
32,69,1
32,70,1
32,79,0
32,80,0
33,1,1
33,5,1
33,20,0
33,29,0
33,36,0
33,46,0
33,54,0
33,56,1
33,69,0
33,70,0
33,78,1
34,1,1
34,5,1
34,6,1
34,30,1
34,48,0
34,56,1
34,57,1
34,64,1
34,69,1
34,73,1
35,1,1
35,5,1
35,6,1
35,30,1
35,48,0
35,56,1
35,57,1
35,64,1
35,69,1
35,73,1
36,1,1
36,5,0
36,6,0
36,30,0
36,48,0
36,56,1
36,57,0
36,64,0
36,69,0
36,73,0
36,78,1
37,1,1
37,5,1
37,6,0
37,30,0
37,48,0
37,56,1
37,57,0
37,64,0
37,69,0
37,73,0
37,78,1
38,1,1
38,5,1
38,6,0
38,30,0
38,48,0
38,56,1
38,57,0
38,64,1
38,69,0
38,73,0
38,76,1
38,80,1
39,1,1
39,5,1
39,6,1
39,30,1
39,48,0
39,56,1
39,57,1
39,64,1
39,69,0
39,73,1
39,78,0
40,1,1
40,5,1
40,11,1
40,48,0
40,54,1
40,56,1
40,60,1
40,61,1
40,69,1
40,73,1
41,1,1
41,5,1
41,20,0
41,29,0
41,36,0
41,46,0
41,54,0
41,56,1
41,69,0
41,70,0
42,1,1
42,5,1
42,6,1
42,30,1
42,48,0
42,56,1
42,57,1
42,64,1
42,69,1
42,73,1
42,76,0
43,1,1
43,5,1
43,6,0
43,30,0
43,48,0
43,56,1
43,57,0
43,64,0
43,69,0
43,73,0
44,1,1
44,5,0
44,6,1
44,30,1
44,48,0
44,56,1
44,57,1
44,64,1
44,69,1
44,73,1
44,77,0
45,1,1
45,5,0
45,6,0
45,30,0
45,48,0
45,56,1
45,57,0
45,64,0
45,69,0
45,73,0
45,76,1
45,77,1
46,1,1
46,5,1
46,11,0
46,48,0
46,54,0
46,56,1
46,60,0
46,61,1
46,69,0
46,73,0
47,1,1
47,5,1
47,11,1
47,48,0
47,54,1
47,56,1
47,60,1
47,61,1
47,69,1
47,73,1
47,80,0
48,1,1
48,5,1
48,11,0
48,48,0
48,54,1
48,56,1
48,60,0
48,61,0
48,69,0
48,73,0
48,76,1
48,80,1
49,1,1
49,5,0
49,11,0
49,48,0
49,54,0
49,56,1
49,60,0
49,61,0
49,69,0
49,73,1
49,80,1
50,1,1
50,5,0
50,11,1
50,48,0
50,54,1
50,56,1
50,60,1
50,61,1
50,69,1
50,73,1
51,1,1
51,5,0
51,11,0
51,48,0
51,54,0
51,56,1
51,60,0
51,61,0
51,69,0
51,73,0
52,1,1
52,5,1
52,6,0
52,17,0
52,48,0
52,56,1
52,57,0
52,64,0
52,69,0
52,73,0
52,76,1
52,77,1
52,79,1
53,1,1
53,5,1
53,6,0
53,17,0
53,48,0
53,56,1
53,57,0
53,64,0
53,69,0
53,73,0
53,76,1
53,80,1
54,1,1
54,5,1
54,6,0
54,17,0
54,48,0
54,56,1
54,57,0
54,64,0
54,69,0
54,73,0
54,76,1
54,80,1
55,1,1
